comment,commentNUM,name,rate
百看不厌。 ,291563人评价,射雕英雄传之东成西就,8.7
童话世界的开端。,276765人评价,哈利·波特与魔法石,8.7
相逢只要一瞬间，等待却像是一辈子。,244413人评价,甜蜜蜜,8.8
最不可能的那个人永远是最可能的。,337828人评价,致命ID,8.6
我们都曾经是一一。,164308人评价,一一,8.9
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,284469人评价,阳光姐妹淘,8.8
每个人心中都有一座断背山。,338173人评价,断背山,8.6
没有一人完全善，也没有一人完全恶。,361382人评价,告白,8.7
骗子大师和执著警探的你追我跑故事。 ,243386人评价,猫鼠游戏,8.7
被上帝抛弃了的上帝之城。,164646人评价,上帝之城,8.9
约翰尼·德普的独角戏。,365833人评价,加勒比海盗,8.6
大时代中的人生，小人物的悲喜。,95241人评价,摩登时代,9.2
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,157507人评价,穿条纹睡衣的男孩,8.9
绝对意义上的美轮美奂。,555182人评价,阿凡达,8.6
缘分是个连绵词，最美不过一瞬。,233291人评价,爱在黎明破晓前,8.7
年度最佳date movie。,377080人评价,消失的爱人,8.7
动画片的圣经。,185485人评价,风之谷,8.8
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,208807人评价,爱在日落黄昏时,8.7
少女情怀总是诗。,178136人评价,侧耳倾听,8.8
穷尽一生，我们要学会的，不过是彼此拥抱。,181735人评价,超脱,8.8
两张绝世的脸。 ,268358人评价,倩女幽魂,8.6
梦的勾结。,142744人评价,红辣椒,8.9
恐怖分子的“秋菊打官司”。,235264人评价,恐怖直播,8.7
幸福是生生不息，却难以触及的远。 ,213174人评价,萤火虫之墓,8.7
和谐的生活离不开摸头与被摸头。,299549人评价,驯龙高手,8.7
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,191456人评价,菊次郎的夏天,8.7
有时候幸福需要等一等。 ,234792人评价,幸福终点站,8.6
岁月流逝，来日可追。,318852人评价,岁月神偷,8.6
曾经的那段美好会沉淀为一辈子的记忆。,227659人评价,借东西的小人阿莉埃蒂,8.7
那些静得只能听见呼吸的日子里，你明白孤独即生活。,139179人评价,小森林 夏秋篇,8.9
Mr. I Don't Care其实也有Care的时候。,397255人评价,神偷奶爸,8.5
时代悲歌。,80642人评价,七武士,9.2
我是一个演员。,332361人评价,喜剧之王,8.5
大海啊，不全是水。,101620人评价,海洋,9.0
关于连环杀人悬案的集体回忆。,218673人评价,杀人回忆,8.6
爱，是个动词。,327774人评价,真爱至上,8.5
